公司代號,公司名稱,董事會決議日期,買回目的,買回股份總金額上限(依最新財報計算之法定上限),預定買回股數,買回價格區間最低,買回價格區間最高,預定買回期間起,預定買回期間迄,是否執行完畢,本次已買回股數(空白為尚在執行中),本次執行完畢已註銷或轉讓股數,本次已買回股數佔預定買回股數比例(%)(空白為尚在執行中),本次已買回總金額(空白為尚在執行中),本次平均每股買回價格(空白為尚在執行中),本次買回股數佔公司已發行股份總數比例(%)(空白為尚在執行中),本次未執行完畢之原因
2883,開發金,109/03/18,3,19071801742.0,150000000.0,7.6,10.00,2020-03-19,2020-05-18,Y,0.0,,0.0,0.0,0.00,0.0,考量執行期間本公司股價逐漸回穩，基於維護股東權益及資金效益，故本次買回庫藏股未予執行。
3032,偉訓,109/03/18,1,1123063278.0,4000000.0,21.5,30.00,2020-03-19,2020-05-18,Y,2000000.0,2000000.0,50.0,51701070.0,25.85,1.77,因執行買回股份期間，股價已漸趨穩定，基於維護股東權益與資金有效運用，故未全數執行完畢。
3041,揚智,109/03/18,1,1490225225.0,3850000.0,10.5,18.00,2020-03-19,2020-05-18,Y,2000000.0,622000.0,51.95,30077609.0,15.04,1.04,本公司考慮受疫情影響使整體經濟情況尚不明朗，為兼顧市場機制及維護整體股東權益，故未能全部執行完畢。
4739,康普,109/03/18,1,2258976496.0,4000000.0,25.41,91.73,2020-03-19,2020-05-18,Y,2025000.0,,50.63,115747975.0,57.16,2.18,為維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況採取分批買回策略，故未全數執行完畢。
4976,佳凌,109/03/18,1,493676000.0,2000000.0,10.0,33.00,2020-03-19,2020-05-18,Y,836000.0,206000.0,41.8,14882310.0,17.80,0.7,為維護股東權益並兼顧市場機制，視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。
5388,中磊,109/03/18,1,4519814321.0,5000000.0,42.91,80.00,2020-03-19,2020-05-17,Y,1998000.0,335000.0,39.96,130468015.0,65.30,0.8,"1.採限時、限量、限價低接為原則,致部份買單未成交 2.疫情未見緩和,保留部份額度備用"
5531,鄉林,109/03/18,3,933171801.0,12500000.0,8.0,12.00,2020-03-19,2020-05-18,Y,4885000.0,4885000.0,39.08,40457789.0,8.28,0.5,本公司基於維護股東權益與兼顧市場機制，並保留後續資金運用，故未予以執行完畢。
6438,迅得,109/03/18,1,1009361509.0,2000000.0,35.0,75.00,2020-03-19,2020-05-18,Y,1000000.0,1000000.0,50.0,56504517.0,56.50,1.66,為兼顧市場機制及維護股東權益，本公司考量股價變化及成交量狀況，故未執行完畢。
1733,五鼎,109/03/19,1,549841249.0,1000000.0,21.0,32.00,2020-03-20,2020-05-18,Y,573000.0,,57.3,12245800.0,21.37,0.57,為考量資金有效運用及兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回，故本次庫藏股未能執行完畢。
2031,新光鋼,109/03/19,3,2851769493.0,7000000.0,12.01,41.76,2020-03-20,2020-05-18,Y,3500000.0,3500000.0,50.0,81767841.0,23.36,1.13,為維護股東權益並兼顧市場機制，故未執行完畢。
2455,全新,109/03/19,1,519555653.0,5000000.0,58.0,103.00,2020-03-20,2020-05-19,Y,2000.0,2000.0,0.04,126488.0,63.24,0.0,執行期間受惠於國安基金進場護盤帶領下，市場氛圍已明顯改善，本公司考量後續資金運用，故未予以執行完畢。
2636,台驊投控,109/03/19,1,1135885763.0,10000000.0,12.32,25.00,2020-03-19,2020-05-18,Y,1556000.0,,15.56,32762643.0,21.06,1.33,為顧及股東權益及兼顧員工意願
2897,王道銀行,109/03/19,1,4781949079.0,35000000.0,5.0,7.00,2020-03-20,2020-05-19,Y,5737000.0,,16.39,38304469.0,6.68,0.24,為維護股東權益與兼顧市場機制，視股價及成交量採分批買回，惟因期間市場交易量低於預期，且自4/29起，收盤股價已逾預定買回價格之上限，故本次買回未能執行完畢
3015,全漢,109/03/19,3,3340905373.0,5000000.0,15.0,25.00,2020-03-20,2020-05-19,Y,5000000.0,5000000.0,100.0,101002529.0,20.20,2.6,
3021,鴻名,109/03/19,3,262344171.0,3000000.0,7.42,21.80,2020-03-20,2020-05-19,Y,1813467.0,1813467.0,60.45,21427637.0,11.82,1.89,為兼顧市場機制及維護全體股東權益，故本次未能執行完畢。
8011,台通,109/03/19,3,1409479101.0,2500000.0,9.0,13.00,2020-03-20,2020-05-19,Y,1040000.0,1040000.0,41.6,12557850.0,12.07,0.88,股價已超過本公司可執行買回之區間價格，故未能全數執行完畢。
1101,台泥,109/03/20,1,82253560000.0,8000000.0,25.9,61.95,2020-03-23,2020-05-22,Y,4000000.0,,50.0,171600146.0,42.90,0.07,原預定買回期間本公司股價與大盤相較無超跌情形，為維護股東權益及考量員工認股意願，故未執行完畢。
1455,集盛,109/03/20,3,747464905.0,60000000.0,3.41,10.05,2020-03-23,2020-05-22,Y,33763000.0,33763000.0,56.27,239691515.0,7.10,5.52,本公司為兼顧市場交易機制及維護整體股東權益，視股價變化及成交量執行分批買回庫藏股，考量買回期間股價已趨穩定又每日成交量不大，故未能執行完畢。
1587,吉茂,109/03/20,3,538460367.0,1000000.0,6.85,19.98,2020-03-23,2020-05-22,Y,1000000.0,1000000.0,100.0,11259810.0,11.26,1.51,
1597,直得,109/03/20,1,1225143290.0,5000000.0,37.25,131.00,2020-03-23,2020-05-20,Y,445000.0,,8.9,26550420.0,59.66,0.55,為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢。
1598,岱宇,109/03/20,1,1002912315.0,4500000.0,25.0,45.00,2020-03-23,2020-05-19,Y,1565000.0,,34.78,50663964.0,32.37,1.36,為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢。
1718,中纖,109/03/20,1,3680468488.0,20000000.0,3.49,10.50,2020-03-23,2020-05-22,Y,304000.0,,1.52,1745662.0,5.74,0.02,"為維護整體股東權益,本公司視股價在市場上之變化採分批買回策略。"
1736,喬山,109/03/20,1,6495739000.0,2000000.0,40.0,80.00,2020-03-23,2020-05-22,Y,531000.0,103000.0,26.55,32305935.0,60.84,0.17,為顧及本公司資金規劃及有效運用，故未予以全部執行完畢。
2069,運錩,109/03/20,1,1381083466.0,5000000.0,9.0,18.00,2020-03-23,2020-05-19,Y,2700000.0,1350000.0,54.0,40787529.0,15.11,1.73,為維護股東權益並兼顧市場機制不影響股價，故本次未能執行完畢。
2107,厚生,109/03/20,3,6497001553.0,20000000.0,13.0,18.00,2020-03-23,2020-05-22,Y,7674000.0,7674000.0,38.37,129617839.0,16.89,2.19,本公司視國際證金環境及國內證券市場情形，採分批買回策略，惟國內新冠肺炎疫情穩定後，股市止跌回升，本公司股價亦達買回區間上限，故未能按原定數量全數買回。
2206,三陽工業,109/03/20,3,4843345515.0,15000000.0,15.0,30.00,2020-03-23,2020-05-22,Y,6197000.0,6197000.0,41.31,120672646.0,19.47,0.73,為維護股東權益及兼顧市場機制，視股價變化及成交量狀況採行分批買回策略，故未執行完畢。
2454,聯發科,109/03/20,3,238042410101.0,15900000.0,301.0,452.00,2020-03-23,2020-05-22,Y,130000.0,130000.0,0.82,53599766.0,412.31,0.01,本公司顧及資金運用效益與維護股東權益，本次庫藏股未全數執行。
2547,日勝生,109/03/20,3,2067149664.0,20000000.0,6.0,10.00,2020-03-23,2020-05-12,Y,12213000.0,12213000.0,61.07,114160070.0,9.35,1.34,股價已超過本公司可執行買回之區間價格，故未全數執行完畢。
3030,德律,109/03/20,3,2240759206.0,10000000.0,29.3,74.90,2020-03-23,2020-05-22,Y,0.0,0.0,0.0,0.0,0.00,0.0,考量執行期間本公司股價逐漸回穩，基於維護股東權益及資金效益，故本次買回庫藏股未予執行。
3031,佰鴻,109/03/20,3,624965092.0,5000000.0,7.5,20.45,2020-03-23,2020-05-22,Y,5000000.0,5000000.0,100.0,70903406.0,14.18,2.68,
3059,華晶科,109/03/20,1,5308674240.0,8000000.0,18.0,25.00,2020-03-23,2020-05-22,Y,3000000.0,,37.5,63231863.0,21.08,1.07,考量買回期間股價及成交量狀況已趨穩定，為兼顧巿場機制及維護整體股東權益故未能執行完畢。
3305,昇貿,109/03/20,1,2239601000.0,3000000.0,16.0,32.00,2020-03-20,2020-05-18,Y,589000.0,,19.63,11016790.0,18.70,0.5,為考量資金有效運用並維護股東權益，本公司視股價變化採分批買回，故本次庫藏股未能執行完畢。
5706,鳳凰,109/03/20,1,433858350.0,5000000.0,18.0,36.00,2020-03-24,2020-05-22,Y,621000.0,,12.42,18282647.0,29.44,1.01,為維護整體股東權益兼顧市場機制，本公司視股價變化於區間內分批買回，考量資金之有效運用，故未執行完畢。
9802,鈺齊-KY,109/03/20,1,5518595694.0,1000000.0,55.0,150.00,2020-03-23,2020-04-22,Y,660000.0,,66.0,57582681.0,87.25,0.38,基於維護股東權益並兼顧市場機制，公司視股價變化及成交量狀況採取分批買回策略，故未全數執行完畢。
9943,好樂迪,109/03/20,1,1901877944.0,5000000.0,34.3,95.99,2020-03-20,2020-05-19,Y,57000.0,,1.14,2953742.0,51.82,0.04,因本公司股價自董事會決議買回日起走升，並考量員工未來認股意願及資金運用效益，故未執行完畢。
1445,大宇,109/03/21,3,122003948.0,10000000.0,5.0,9.00,2020-03-23,2020-05-20,Y,2001000.0,2001000.0,20.01,14533984.0,7.26,1.51,為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢。
1454,台富,109/03/21,3,127564923.0,10000000.0,6.0,10.00,2020-03-23,2020-05-20,Y,4476000.0,,44.76,34561833.0,7.72,3.33,市場價格已恢復正常
1310,台苯,109/03/23,1,1305034402.0,7000000.0,8.61,25.77,2020-03-25,2020-05-22,Y,1040000.0,,14.86,15186712.0,14.60,0.2,為兼顧市場機制及員工認股意願
2459,敦吉,109/03/23,3,3006592354.0,2000000.0,33.0,45.00,2020-03-24,2020-05-22,Y,305000.0,305000.0,15.25,11893402.0,38.99,0.29,因兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回策略，於執行期間內股價逐漸回穩、波動相對穩定，故未能執行完畢。
2481,強茂,109/03/23,1,2487828575.0,10000000.0,10.54,34.50,2020-03-24,2020-05-23,Y,700000.0,,7.0,16507418.0,23.58,0.21,為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢。
2483,百容,109/03/23,3,1144855736.0,3000000.0,11.0,28.00,2020-03-24,2020-05-22,Y,1525000.0,1525000.0,50.83,27318639.0,17.91,1.38,考量 買回期間股價維持並顧及本公司股東權益，故未執行完畢
2889,國票金,109/03/23,1,1783905032.0,50000000.0,9.0,11.00,2020-03-24,2020-05-23,Y,10000000.0,,20.0,106345863.0,10.63,0.35,股價超過董事會授權範圍
3708,上緯投控,109/03/23,1,2790380965.0,2000000.0,37.0,106.00,2020-03-24,2020-05-22,Y,1000000.0,,50.0,66341284.0,66.34,1.07,為兼顧市場機制及維護全體股東權益，視股價變化及成交量狀況採分批買回策略，故未依原預定數量全部執行完畢。
4906,正文,109/03/23,3,5593801000.0,20000000.0,13.8,26.00,2020-03-24,2020-05-23,Y,3293000.0,3293000.0,16.47,68766973.0,20.88,0.92,因考量買回期間股價穩定，及維護整體股東權益，本公司視股價變化採分批買回，故本次庫藏股未能執行完畢。
6191,精成科,109/03/23,1,6503477000.0,1500000.0,9.0,12.00,2020-03-24,2020-05-23,Y,650000.0,650000.0,43.33,7650927.0,11.77,0.13,市場價格高於買回區間價格上限，故未全數執行完畢。
6205,詮欣,109/03/23,3,883891577.0,3000000.0,15.0,30.00,2020-03-24,2020-05-23,Y,627000.0,,20.9,13366888.0,21.32,0.87,本公司為兼顧市場機制及維護全體股東權益，視股價變化及成交量狀況採分批買回策略，因而未依原預定數量完全執行完畢。
6269,台郡,109/03/23,1,19340481462.0,5000000.0,70.0,120.00,2020-03-24,2020-03-31,Y,0.0,0.0,0.0,0.0,0.00,0.0,本公司基於維護股東權益與兼顧市場機制、並考量資金效益，故本次庫藏股未能執行完畢。
6269,台郡,109/03/23,3,19340481462.0,25000000.0,70.0,120.00,2020-04-01,2020-05-23,Y,0.0,0.0,0.0,0.0,0.00,0.0,本公司基於維護股東權益與兼顧市場機制、並考量資金效益，故本次庫藏股未能執行完畢。
8213,志超,109/03/23,1,8448441240.0,10000000.0,18.45,47.45,2020-03-24,2020-05-23,Y,10000000.0,,100.0,328049036.0,32.80,3.69,
8462,柏文,109/03/23,1,1110603970.0,2000000.0,100.0,200.00,2020-03-24,2020-05-22,Y,0.0,,0.0,0.0,0.00,0.0,基於維護股東權益與兼顧市場機制，減少對集中市場股價之影響，並考量公司資金有效運用，故本次買回本公司股份期間屆滿未執行完畢。
9939,宏全,109/03/23,3,9183154404.0,10000000.0,40.0,60.00,2020-03-24,2020-05-22,Y,5093000.0,5093000.0,50.93,277422689.0,54.47,1.74,為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢。
2231,為升,109/03/24,1,2056645987.0,5000000.0,90.0,140.00,2020-03-25,2020-05-24,Y,3361000.0,,67.22,431515639.0,128.39,2.74,為維護股東權益與兼顧市場機制，本公司視股價變化及成交量狀況分批買回，股價已超出董事會授權區間，故未能執行完畢
2417,圓剛,109/03/24,1,777359000.0,5000000.0,6.08,16.51,2020-03-25,2020-05-24,Y,3002000.0,,60.04,38888877.0,12.95,1.56,為兼顧市場機制不影響股價，並維護股東權益，公司視股價變化及成交量狀況分批買回，執行率60.04%。
2472,立隆電,109/03/24,1,1741389391.0,2000000.0,25.0,35.00,2020-03-25,2020-05-24,Y,10000.0,,0.5,343486.0,34.35,0.01,為考量資金有效運用及兼顧市場機制，本公司視股價變化及成交量狀況採分批買回，且自4/15之後股價已超過本公司可執行買回之價格上限，故未能全數執行完畢。
3022,威強電,109/03/24,3,5143965541.0,1000000.0,25.0,50.00,2020-03-25,2020-05-22,Y,692000.0,692000.0,69.2,25008158.0,36.14,0.39,為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故本次庫藏股未能執行完畢。
3038,全台,109/03/24,1,203468495.0,7000000.0,12.0,20.00,2020-03-24,2020-05-23,Y,0.0,,0.0,0.0,0.00,0.0,因本公司股價自董事會決議買回日起走升，考量員工及股東權益，故未執行完畢。
3231,緯創,109/03/24,1,34164177514.0,60000000.0,16.0,30.00,2020-03-25,2020-05-23,Y,58769000.0,,97.95,1607258790.0,27.35,2.07,為維護整體股東權益及兼顧市場機制，本公司視股價變化於價格區間內採分批買回策略，故未執行完畢。
5203,訊連,109/03/24,3,2674371588.0,2000000.0,70.0,120.00,2020-03-25,2020-05-24,Y,1205000.0,1205000.0,60.25,124743901.0,103.52,1.42,本公司為兼顧市場機制及維護全體股東權益，視股價變化及成交量狀況採分批買回策略，因而未依原預定數量完全執行完畢。
5283,禾聯碩,109/03/24,3,2714314000.0,3000000.0,75.0,115.00,2020-03-24,2020-05-23,Y,3000000.0,3000000.0,100.0,280093974.0,93.36,3.95,
6464,台數科,109/03/24,3,3253135028.0,450000.0,105.0,130.00,2020-03-25,2020-05-22,Y,450000.0,450000.0,100.0,51278353.0,113.95,0.37,
8110,華東,109/03/24,1,3488579000.0,2000000.0,6.0,9.00,2020-03-25,2020-05-24,Y,1618000.0,,80.9,13582692.0,8.39,0.32,本次執行期間內，因市場股價已超出預定買回價格上限，故未能全數買回。
1103,嘉泥,109/03/25,1,8863013000.0,7000000.0,11.0,16.00,2020-03-26,2020-05-24,Y,1435000.0,,20.5,22239663.0,15.50,0.19,原預定買回期間本公司股價與大盤相較無超跌情形，為維護股東權益及考量員工認股意願，故未執行完畢。
1517,利奇,109/03/25,1,804877724.0,3000000.0,4.61,12.27,2020-03-26,2020-05-25,Y,2385000.0,,79.5,17991000.0,7.54,1.05,本公司基於維護股東權益與兼顧市場機制，視股價變化及成交量狀況採分批買回，故未予以執行完畢。
2413,環科,109/03/25,1,309730405.0,2000000.0,6.68,18.68,2020-03-26,2020-05-25,Y,538000.0,,26.9,6159927.0,11.45,0.42,為兼顧市場機制及員工認股意願，以致未依預計數量全數買回。
2495,普安,109/03/25,3,1297674640.0,1000000.0,9.0,13.00,2020-03-26,2020-05-22,Y,1000000.0,1000000.0,100.0,11315740.0,11.32,0.36,
4414,如興,109/03/25,3,4183018941.0,6900000.0,6.0,14.00,2020-03-26,2020-05-24,Y,3477000.0,3477000.0,50.39,31400507.0,9.03,0.38,為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢。
4439,冠星-KY,109/03/25,1,1774274247.0,300000.0,80.0,210.00,2020-03-26,2020-05-25,Y,151000.0,,50.33,20801671.0,137.76,0.48,為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢。
4912,聯德控股-KY,109/03/25,3,1270511795.0,1000000.0,50.0,90.00,2020-03-26,2020-04-30,Y,505000.0,505000.0,50.5,38523601.0,76.28,1.06,因兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回，故未執行完畢。
8271,宇瞻,109/03/25,1,1539497044.0,2000000.0,25.65,32.00,2020-03-26,2020-05-25,Y,0.0,,0.0,0.0,0.00,0.0,執行庫藏股期間股價持續回穩致市場價格高於庫藏股買回執行價格區間上限，故未予以執行
1536,和大,109/03/26,3,3503122009.0,6000000.0,60.0,90.00,2020-03-27,2020-05-26,Y,439000.0,439000.0,7.32,35009873.0,79.75,0.17,基於維護股東權益並兼顧市場機制，公司視股價變化及成交量狀況採取分批買回策略，故未全數執行完畢。
1558,伸興,109/03/26,1,3671542595.0,1200000.0,90.0,110.00,2020-03-27,2020-05-26,Y,0.0,,0.0,0.0,0.00,0.0,本公司買回期間股價均未低於最高買回區間價格110元，故本次買回庫藏股數量未達預定買回數量。
2426,鼎元,109/03/26,1,386337047.0,5000000.0,8.0,13.00,2020-03-27,2020-05-25,Y,2656000.0,,53.12,30789863.0,11.59,0.88,因本公司股價自109/5/6至買回期間結束日109/5/25止，皆高於買回區間最高價格13元，故未執行完畢，執行率為53.12%。
3058,立德,109/03/26,3,587062524.0,3000000.0,3.44,9.00,2020-03-27,2020-05-26,Y,3000000.0,3000000.0,100.0,18176407.0,6.06,1.82,
4961,天鈺,109/03/26,1,2053540704.0,5000000.0,20.0,40.00,2020-03-27,2020-05-26,Y,369000.0,,7.38,9449200.0,25.61,0.22,為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回策略，故未能執行完畢。
5258,虹堡,109/03/26,1,383414635.0,1500000.0,13.0,34.00,2020-03-27,2020-05-26,Y,771000.0,,51.4,18064279.0,23.43,0.86,為維護整體股東權益，本公司視股價變化採取分批買回策略。執行率51.4%。
1314,中石化,109/03/27,3,13715715064.0,50000000.0,5.03,7.50,2020-03-30,2020-05-29,Y,0.0,,0.0,0.0,0.00,0.0,因市場價格大多高於庫藏股買回執行價格區間上限，且原預定買回期間本公司股價與大盤相較無超跌情形，為維護股東權益及兼顧市場機制，故未執行買回。
1531,高林股,109/03/27,3,1845313701.0,2000000.0,8.0,15.00,2020-03-27,2020-05-26,Y,1400000.0,1400000.0,70.0,16488863.0,11.78,0.76,為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。
1817,凱撒衛,109/03/27,1,863180510.0,1000000.0,19.0,46.05,2020-03-27,2020-05-26,Y,524000.0,,52.4,15674348.0,29.91,0.72,為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。
2428,興勤,109/03/27,3,4552192896.0,1200000.0,51.1,80.00,2020-03-30,2020-05-29,Y,0.0,,0.0,0.0,0.00,0.0,考量執行期間本公司股價逐漸回穩，基於維護股東權益及資金效益，故本次買回庫藏股未予執行。
2462,良得電,109/03/27,3,1111658695.0,1000000.0,22.0,30.00,2020-03-30,2020-05-26,Y,550000.0,550000.0,55.0,14021620.0,25.49,0.39,基於維護股東權益並兼顧市場機制，公司視股價變化及成交量狀況採取分批買回策略，故本次買回庫藏股未能執行完畢
3052,夆典,109/03/27,1,264126205.0,6000000.0,7.0,12.00,2020-03-30,2020-05-29,Y,2525000.0,,42.08,26129920.0,10.35,1.1,為兼顧市場機制及有效運用資金，本公司視股價變化及成交量狀況採分批買回策略，故未予以執行完畢
5515,建國,109/03/27,3,1461891000.0,10000000.0,7.0,10.00,2020-03-30,2020-05-29,Y,10000000.0,10000000.0,100.0,97768438.0,9.78,3.74,
8482,商億-KY,109/03/27,3,1747923571.0,3000000.0,100.0,180.00,2020-03-30,2020-05-29,Y,668000.0,668000.0,22.27,71674409.0,107.30,0.6,因公司以穩定及不助漲股價為原則，執行買回股份期間之股價穩定，基於維護股東權益及資金有效運用，故未全數執行完畢。
2312,金寶,109/03/30,1,1301640495.0,45000000.0,6.9,18.00,2020-03-31,2020-05-30,Y,28443000.0,,63.21,331781818.0,11.66,1.95,考慮受疫情影響使整體經濟情況尚不明朗，為兼顧市場機制及維護整體股東權益，故未能全部執行完畢
5522,遠雄,109/03/30,3,29713592099.0,40000000.0,25.0,54.00,2020-03-31,2020-05-30,Y,24663000.0,24663000.0,61.66,1028323591.0,41.69,3.06,為維護整體股東權益，兼顧市場機制並考量資金有效運用，故本次未執行完畢
6641,基士德-KY,109/03/30,1,735639000.0,1000000.0,41.0,90.00,2020-03-31,2020-05-30,Y,500000.0,,50.0,32858381.0,65.72,1.47,基於維護股東權益並兼顧市場機制，公司視股價變化及成交量狀況予以適度買回，故未全數執行完畢。
3591,艾笛森,109/03/31,3,1509288618.0,3000000.0,7.5,15.00,2020-04-01,2020-05-30,Y,1618000.0,,53.93,19832375.0,12.26,1.29,基於維護股東權益並兼顧市場機制，公司視股價變化及成交量狀況採取分批買回策略，故本次買回庫藏股未能執行完畢
1219,福壽,109/04/07,1,476765356.0,10000000.0,13.0,26.00,2020-04-08,2020-06-06,Y,364000.0,,3.64,6734625.0,18.50,0.11,因執行期間股價穩定，並考量股東權益及資金有效運用，故未全數執行完畢。
2375,凱美,109/04/08,1,4925370081.0,4000000.0,24.78,49.34,2020-04-09,2020-06-08,Y,0.0,,0.0,0.0,0.00,0.0,因執行買回股份期間，股價已漸趨穩定，為兼顧市場機制，並避免股價過渡波動，故未執行完畢。
6288,聯嘉,109/04/09,1,483378894.0,7000000.0,15.0,25.00,2020-04-10,2020-06-09,Y,7000000.0,,100.0,150432560.0,21.49,4.09,
1605,華新,109/04/10,3,41196845000.0,40000000.0,10.5,16.50,2020-04-13,2020-06-12,Y,40000000.0,40000000.0,100.0,518191997.0,12.95,1.2,
4532,瑞智,109/04/13,1,2634680565.0,5000000.0,11.35,25.50,2020-04-14,2020-06-13,Y,20000.0,,0.4,306436.0,15.32,0.0,為兼顧協調市場機制、有效資金運用、故未全數買回
3164,景岳,109/04/17,3,424470573.0,5000000.0,14.95,31.35,2020-04-20,2020-06-19,Y,1086000.0,1086000.0,21.72,26297323.0,24.21,1.22,因公司以穩定及不助漲股價為原則，執行買回股份期間之股價穩定，基於維護股東權益及資金有效運用，故未全數執行完畢。
4540,全球傳動,109/04/17,3,2133463034.0,5000000.0,36.0,66.00,2020-04-20,2020-06-16,Y,2500000.0,,50.0,139941821.0,55.98,2.59,為維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況採取分批買回策略，故未全數執行完畢。
2496,卓越,109/04/23,1,589839750.0,200000.0,42.0,89.10,2020-04-23,2020-06-22,Y,178000.0,,89.0,12405656.0,69.69,1.02,基於資金有效運用及維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。
6451,訊芯-KY,109/04/27,1,4172858951.0,3000000.0,76.0,158.00,2020-04-28,2020-06-27,Y,0.0,,0.0,0.0,0.00,0.0,基於維護股東權益與兼顧市場機制，減少對集中市場股價之影響，並考量公司資金有效運用，故本次買回本公司股份期間屆滿未執行完畢。
8103,瀚荃,109/04/29,3,1619681806.0,4000000.0,15.93,32.94,2020-04-30,2020-06-29,Y,2446000.0,2446000.0,61.15,63134986.0,25.81,3.0,因買回期間成交量小，為兼顧市場機制不影響股價，並維護股東權益，公司視股價變化及成交量狀況採行分批買回策略，故本次買回庫藏股未能執行完畢。
4106,雃博,109/04/30,1,975698285.0,1500000.0,18.5,25.00,2020-05-01,2020-06-30,Y,0.0,,0.0,0.0,0.00,0.0,市場價格高於決議之買回上限，故本次買回本公司股份期間屆滿未執行完畢
8261,富鼎,109/04/30,1,548043977.0,2000000.0,18.0,30.00,2020-04-30,2020-06-29,Y,0.0,,0.0,0.0,0.00,0.0,因執行買回期間，股價已漸趨穩定，考量員工認購意願及資金運用效益，故未予執行。
2030,彰源,109/05/07,3,1086826731.0,3000000.0,9.0,13.00,2020-05-07,2020-07-06,Y,3000000.0,3000000.0,100.0,32001230.0,10.67,1.05,
2495,普安,109/05/07,3,1297674640.0,3000000.0,9.0,13.00,2020-05-08,2020-07-06,Y,1736000.0,1736000.0,57.87,20867276.0,12.02,0.63,本公司基於維護股東權益與兼顧市場機制，並考量資金有效運用，故未全數執行完畢。
1568,倉佑,109/05/11,1,478534095.0,1000000.0,10.47,21.92,2020-05-12,2020-07-11,Y,740000.0,,74.0,11796963.0,15.94,0.72,為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況分批買回，故未執行完畢。
1532,勤美,109/05/12,3,7663482099.0,12000000.0,20.0,33.00,2020-05-13,2020-07-12,Y,9130000.0,9130000.0,76.08,257223288.0,28.17,2.37,因兼顧市場機制，本公司視股價變化及成交量狀況採分批買回，故未執行完畢。
4764,雙鍵,109/05/12,3,1490253388.0,2000000.0,44.66,91.26,2020-05-13,2020-07-10,Y,1368000.0,1368000.0,68.4,94923119.0,69.39,1.78,為維護股東權益及兼顧市場機制，並考量資金有效運用，本公司視股價變化及成交量狀況採取分批買回策略，故未執行完畢。
1709,和益,109/05/13,1,1447211917.0,9540000.0,10.0,18.00,2020-05-14,2020-07-13,Y,0.0,,0.0,0.0,0.00,0.0,因執行買回期間，股價已漸趨穩定，考量員工認購意願及減少對集中市場股價之影響，故未予執行。
4306,炎洲,109/05/13,1,2127103148.0,10000000.0,9.0,16.20,2020-05-14,2020-07-13,Y,7022000.0,,70.22,84796395.0,12.08,1.23,為維護股東權益並兼顧市場機制，視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。
1905,華紙,109/05/14,1,2365612306.0,30000000.0,5.8,10.00,2020-05-15,2020-07-14,Y,15944000.0,,53.15,136726350.0,8.58,1.45,因本公司視股價變化及成交量狀況，採取適度分批買回策略，故未執行完畢。
2365,昆盈,109/05/20,3,809642794.0,5000000.0,6.0,10.00,2020-05-21,2020-07-17,Y,5000000.0,,100.0,43914841.0,8.78,2.13,
2206,三陽工業,109/05/22,3,4645923028.0,10000000.0,15.0,29.00,2020-05-25,2020-07-22,Y,1905000.0,1905000.0,19.05,40152227.0,21.08,0.22,為維護股東權益及兼顧市場機制，視股價變化及成交量狀況採行分批買回策略，故未執行完畢。
2303,聯電,109/06/05,1,77909406101.0,200000000.0,11.55,23.25,2020-06-08,2020-08-07,Y,105000000.0,,52.5,1678271840.0,15.98,0.86,為考量市場機制及整體股東權益，本次庫藏股未執行完畢。
1313,聯成,109/06/10,1,4265604494.0,10000000.0,8.6,11.50,2020-06-11,2020-08-10,Y,10000000.0,,100.0,100558287.0,10.06,0.75,
2369,菱生,109/06/16,1,1329667000.0,2000000.0,7.28,13.00,2020-06-17,2020-08-14,Y,2000000.0,,100.0,23413660.0,11.71,0.53,
2524,京城,109/06/19,3,9987685000.0,5000000.0,26.0,38.00,2020-06-22,2020-08-21,Y,4189000.0,4189000.0,83.78,152968949.0,36.52,1.12,股價已超過執行價格區間上限
1528,恩德,109/07/08,1,277525506.0,3000000.0,6.0,11.00,2020-07-09,2020-09-08,Y,3000000.0,,100.0,23775715.0,7.93,1.51,
